שאלה,ציר,רמה,תיאור הרמה,עם AI (n),עם AI (%),ללא AI (n),ללא AI (%),סה"כ (n),סה"כ (%),רמה ממוצעת
שאלה 50: איך תלמד/י את החומר הזה?,SRL – Forethought Phase (Zimmerman),1,הימנעות / חוסר אסטרטגיה,9,0.7%,49,3.7%,58,4.4%,2.44
,,2,פסיביות / תלות,110,8.3%,638,47.9%,748,56.2%,
,,3,פרואקטיביות בסיסית,273,20.5%,135,10.1%,408,30.7%,
,,4,ניהול אסטרטגי,67,5.0%,50,3.8%,117,8.8%,
שאלה 51: מה תעשה/י אם תתקע/י?,SRL – Performance Phase | Self-Regulation (Zimmerman),1,ויתור ותגובה רגשית קיצונית,22,1.7%,123,9.2%,145,10.9%,2.09
,,2,תלות מיידית במבוגר,220,16.5%,702,52.7%,922,69.3%,
,,3,עצמאות בסיסית וחיפוש מידע,101,7.6%,161,12.1%,262,19.7%,
,,4,ויסות עצמי מתוכנן,1,0.1%,1,0.1%,2,0.2%,
שאלה 52: למה קיבלת ציון 65?,Attribution Theory (Weiner, 1985),1,ייחוס חיצוני ובלתי נשלט,1,0.1%,119,9.0%,120,9.0%,2.05
,,2,ייחוס פנימי כללי ובלתי ספציפי,2,0.2%,1024,77.2%,1026,77.4%,
,,3,זיהוי פגם אסטרטגי ספציפי,0,0.0%,179,13.5%,179,13.5%,
,,4,ניתוח עומק קוגניטיבי,0,0.0%,1,0.1%,1,0.1%,
שאלה 53: איך תדע/י אם הדרך שלמדת הייתה טובה?,SRL – Self-Reflection Phase (Zimmerman),1,הערכה חיצונית בלעדית,12,0.9%,943,71.0%,955,71.9%,1.41
,,2,הערכה חיצונית עם הסתכלות על טעויות,1,0.1%,200,15.1%,201,15.1%,
,,3,הערכה פנימית ומכוונת תהליך,12,0.9%,157,11.8%,169,12.7%,
,,4,הערכה עצמית אסטרטגית,3,0.2%,0,0.0%,3,0.2%,
שאלה 54: מה היית רוצה ללמוד?,Self-Determination Theory (Deci & Ryan) | Intrinsic Motivation,1,חוסר עניין ורוגז,5,0.4%,210,15.8%,215,16.2%,2.08
,,2,נושאים מוכתבים מהסילבוס,14,1.1%,789,59.5%,803,60.5%,
,,3,סקרנות ממוקדת בנושאים,11,0.8%,280,21.1%,291,21.9%,
,,4,למידה יישומית ופרקטית,0,0.0%,18,1.4%,18,1.4%,
שאלה 55: איך תרגיש/י לגבי הציון 65?,Emotional Regulation | Growth Mindset (Dweck),1,תגובה רגשית הרסנית/קיצונית,0,0.0%,608,45.9%,608,45.9%,1.79
,,2,רגש שלילי פסיבי,1,0.1%,514,38.8%,515,38.8%,
,,3,השלמה וקבלה,0,0.0%,79,6.0%,79,6.0%,
,,4,אכזבה בונה ורצון לשיפור,0,0.0%,124,9.4%,124,9.4%,
שאלה 56: האם תלך/י לשיחה עם המורה?,Agency Theory & Relational Approaches,1,הימנעות ובושה,0,0.0%,52,3.9%,52,3.9%,2.38
,,2,ציות פסיבי,0,0.0%,897,67.7%,897,67.7%,
,,3,סקרנות בסיסית,1,0.1%,196,14.8%,197,14.9%,
,,4,חיפוש עזרה אקטיבי,0,0.0%,179,13.5%,179,13.5%,
שאלה 57: מה תרצה/י לשאול?,Metacognition | Help-Seeking Behavior,1,חוסר מטרות,2,0.2%,178,13.4%,180,13.5%,1.88
,,2,שאלה טכנית/ציון,24,1.8%,1108,83.3%,1132,85.1%,
,,3,אבחון טעויות,1,0.1%,15,1.1%,16,1.2%,
,,4,בקשת שיפור ומועד ב',2,0.2%,0,0.0%,2,0.2%,
שאלה 58/59: בעוד 3 שבועות מבחן נוסף – מה תעשה/י?,SRL – Forethought Phase | Long-term Planning,1,דחיינות מוחלטת,3,0.2%,189,14.3%,192,14.5%,2.23
,,2,תכנון ימים ספורים מראש,20,1.5%,681,51.4%,701,52.9%,
,,3,תכנון שבועי,17,1.3%,345,26.0%,362,27.3%,
,,4,תכנון אסטרטגי ל-2 שבועות,2,0.2%,68,5.1%,70,5.3%,
